"COUNTRY.UN_CODE","SPECIES.ALPHA_3_CODE","AREA.CODE","ENVIRONMENT.ALPHA_2_CODE","MEASURE","PERIOD","VALUE","STATUS"
"032","OYG","41","MA","V_USD_1000",2013,44.082,""
"032","PLL","03","IN","V_USD_1000",2013,23.739,""
"032","BNO","03","IN","V_USD_1000",2013,450.053,""
"032","TRR","03","IN","V_USD_1000",2013,11481.032,""
"032","APB","03","IN","V_USD_1000",2013,348.027,""
"032","UPY","03","IN","V_USD_1000",2013,1081.527,""
"032","TRR","41","MA","V_USD_1000",2013,9.159,""
"032","HUH","03","IN","V_USD_1000",2013,84.992,""
"032","CSO","03","IN","V_USD_1000",2013,12933.905,""
"032","FCG","03","IN","V_USD_1000",2013,390.728,""
"032","FCY","03","IN","V_USD_1000",2013,442.836,""
"032","APG","03","IN","V_USD_1000",2014,52.877,"E"
"032","BNO","03","IN","V_USD_1000",2014,30.6,""
"032","MUS","41","MA","V_USD_1000",2014,12.304,""
"032","SXU","03","IN","V_USD_1000",2014,169.208,""
"032","TLP","03","IN","V_USD_1000",2014,406.407,""
"032","APB","03","IN","V_USD_1000",2014,249.775,"E"
"032","MSR","41","MA","V_USD_1000",2014,7.757,""
"032","RMQ","03","IN","V_USD_1000",2014,5.164,""
"032","HUH","03","IN","V_USD_1000",2014,52.877,"E"
"032","FCY","03","IN","V_USD_1000",2014,370.873,""
"032","OYG","41","MA","V_USD_1000",2014,12.631,""
"032","PLL","03","IN","V_USD_1000",2014,27.77,""
"032","FCG","03","IN","V_USD_1000",2014,263.768,""
"032","TRR","03","IN","V_USD_1000",2014,13228.34,""
"032","CSO","03","IN","V_USD_1000",2014,11809.38,""
"032","LPB","03","IN","V_USD_1000",2014,15.343,""
"032","FOK","03","IN","V_USD_1000",2014,321.97,""
"032","UPY","03","IN","V_USD_1000",2014,825.105,""
"032","TRR","41","MA","V_USD_1000",2014,9.288,""
"032","FCY","03","IN","V_USD_1000",2015,653.788,""
"032","TLP","03","IN","V_USD_1000",2015,397.187,""
"032","LPB","03","IN","V_USD_1000",2015,11.334,""
"032","HUH","03","IN","V_USD_1000",2015,49.604,"E"
"032","FOK","03","IN","V_USD_1000",2015,947.669,""
"032","BNO","03","IN","V_USD_1000",2015,11.123,""
"032","MSR","41","MA","V_USD_1000",2015,16.246,""
"032","FCG","03","IN","V_USD_1000",2015,340.657,""
"032","APG","03","IN","V_USD_1000",2015,59.243,"E"
"032","MUS","41","MA","V_USD_1000",2015,16.246,""
"032","MSC","41","MA","V_USD_1000",2015,10.83,""
"032","APB","03","IN","V_USD_1000",2015,281.051,"E"
"032","TRR","41","MA","V_USD_1000",2015,243.686,""
"032","SXU","03","IN","V_USD_1000",2015,110.471,""
"032","TRR","03","IN","V_USD_1000",2015,13940.313,""
"032","RMQ","03","IN","V_USD_1000",2015,0,"E"
"032","PLL","03","IN","V_USD_1000",2015,70.257,""
"032","UPY","03","IN","V_USD_1000",2015,804.1,""
"032","OYG","41","MA","V_USD_1000",2015,16.571,""
"032","CSO","03","IN","V_USD_1000",2015,15633.001,""
"032","PLL","03","IN","V_USD_1000",2016,32.416,""
"032","BNO","03","IN","V_USD_1000",2016,10.733,""
"032","FCY","03","IN","V_USD_1000",2016,304.384,""
"032","TLP","03","IN","V_USD_1000",2016,273.95,""
"032","LPB","03","IN","V_USD_1000",2016,11.275,""
"032","MSR","41","MA","V_USD_1000",2016,10.164,""
"032","OYG","41","MA","V_USD_1000",2016,14.162,""
"032","FOK","03","IN","V_USD_1000",2016,241.9,""
"032","CSO","03","IN","V_USD_1000",2016,12531.123,""
"032","MUS","41","MA","V_USD_1000",2016,8.809,""
"032","UPY","03","IN","V_USD_1000",2016,558.192,""
"032","FCG","03","IN","V_USD_1000",2016,189.365,""
"032","TRR","41","MA","V_USD_1000",2016,152.458,""
"032","SXU","03","IN","V_USD_1000",2016,153.617,""
"032","RMQ","03","IN","V_USD_1000",2016,0,"N"
"032","TRR","03","IN","V_USD_1000",2016,8465.803,""
"032","CSO","03","IN","V_USD_1000",2017,12519.753,""
"032","BNO","03","IN","V_USD_1000",2017,92.829,""
"032","FOK","03","IN","V_USD_1000",2017,184.752,""
"032","APG","03","IN","V_USD_1000",2017,0,"N"
"032","OYG","41","MA","V_USD_1000",2017,20.287,""
"032","MSR","41","MA","V_USD_1000",2017,9.056,""
"032","MUS","41","MA","V_USD_1000",2017,1.956,""
"032","FCG","03","IN","V_USD_1000",2017,201.899,""
"032","TLP","03","IN","V_USD_1000",2017,305.983,""
"032","PLL","03","IN","V_USD_1000",2017,50.088,""
"032","SXU","03","IN","V_USD_1000",2017,101.976,""
"032","UPY","03","IN","V_USD_1000",2017,809.469,""
"032","MSC","41","MA","V_USD_1000",2017,0.725,""
"032","HUH","03","IN","V_USD_1000",2017,0,"N"
"032","PRF","03","IN","V_USD_1000",2017,0,""
"032","LPB","03","IN","V_USD_1000",2017,56.73,""
"032","CRP","03","IN","V_USD_1000",2017,0,""
"032","MCS","41","MA","V_USD_1000",2017,0,""
"032","FCY","03","IN","V_USD_1000",2017,276.09,""
"032","APB","03","IN","V_USD_1000",2017,0,"N"
"032","RMQ","03","IN","V_USD_1000",2017,0,"N"
"032","TRR","03","IN","V_USD_1000",2017,9885.703,""
"032","TRR","41","MA","V_USD_1000",2017,21.736,""
"032","OYG","41","MA","V_USD_1000",2018,4.485,""
"032","TLP","03","IN","V_USD_1000",2018,180.459,""
"032","TRR","03","IN","V_USD_1000",2018,6554.681,""
"032","PLL","03","IN","V_USD_1000",2018,47.944,""
"032","MUS","41","MA","V_USD_1000",2018,5.98,""
"032","SXU","03","IN","V_USD_1000",2018,173.252,""
"032","FCY","03","IN","V_USD_1000",2018,411.052,""
"032","LPB","03","IN","V_USD_1000",2018,27.71,""
"032","CSO","03","IN","V_USD_1000",2018,12312.639,""
"032","UPY","03","IN","V_USD_1000",2018,705.998,""
"032","FCG","03","IN","V_USD_1000",2018,470.155,""
"032","BNO","03","IN","V_USD_1000",2018,800.854,""
"032","TRR","41","MA","V_USD_1000",2018,13.526,""
"032","TLP","03","IN","V_USD_1000",2019,123.058,""
"032","PLL","03","IN","V_USD_1000",2019,30.228,""
"032","BNO","03","IN","V_USD_1000",2019,285.578,""
"032","SXU","03","IN","V_USD_1000",2019,64.333,""
"032","APG","03","IN","V_USD_1000",2019,0,"N"
"032","MSR","41","MA","V_USD_1000",2019,0,""
"032","APB","03","IN","V_USD_1000",2019,0,"N"
"032","FCY","03","IN","V_USD_1000",2019,209.187,""
"032","PRF","03","IN","V_USD_1000",2019,0,""
"032","HUH","03","IN","V_USD_1000",2019,0,"N"
"032","LPB","03","IN","V_USD_1000",2019,38.002,""
"032","MUS","41","MA","V_USD_1000",2019,20.769,""
"032","CRP","03","IN","V_USD_1000",2019,0,""
"032","UPY","03","IN","V_USD_1000",2019,452.304,""
"032","FOK","03","IN","V_USD_1000",2019,155.396,""
"032","FCG","03","IN","V_USD_1000",2019,200.466,""
"032","TRR","03","IN","V_USD_1000",2019,6172.337,""
"032","CSO","03","IN","V_USD_1000",2019,5519.712,""
"032","TRR","41","MA","V_USD_1000",2019,67.5,""
"032","RMQ","03","IN","V_USD_1000",2019,0,"N"
"032","OYG","41","MA","V_USD_1000",2019,14.487,""
"032","MCS","41","MA","V_USD_1000",2019,0,""
"032","MSC","41","MA","V_USD_1000",2019,0,""
"040","TRR","05","IN","V_USD_1000",1984,9025.74,""
"040","FCP","05","IN","V_USD_1000",1984,2406.864,""
"040","TRR","05","IN","V_USD_1000",1985,7310.85,""
"040","FCP","05","IN","V_USD_1000",1985,1876.451,""
"040","FCP","05","IN","V_USD_1000",1986,2670.912,""
"040","TRR","05","IN","V_USD_1000",1986,9538.97,""
"040","FCP","05","IN","V_USD_1000",1987,3327.408,""
"040","TRR","05","IN","V_USD_1000",1987,11091.36,""
"040","TRR","05","IN","V_USD_1000",1988,14283.808,""
"040","FCP","05","IN","V_USD_1000",1988,3692.689,""
"040","FCP","05","IN","V_USD_1000",1989,3311.219,""
"040","TRR","05","IN","V_USD_1000",1989,13320.56,""
"040","TRR","05","IN","V_USD_1000",1990,10068.164,""
"040","FCP","05","IN","V_USD_1000",1990,3240.542,""
"040","FCP","05","IN","V_USD_1000",1991,3985.127,""
"040","TRR","05","IN","V_USD_1000",1991,9049.29,""
"040","TRR","05","IN","V_USD_1000",1992,9258.424,""
"040","FCP","05","IN","V_USD_1000",1992,3543.742,""
"040","FCP","05","IN","V_USD_1000",1993,2657.06,""
"040","TRR","05","IN","V_USD_1000",1993,8708.966,""
"040","FCP","05","IN","V_USD_1000",1994,2606.145,""
"040","AYS","05","IN","V_USD_1000",1994,0,"N"
"040","TRR","05","IN","V_USD_1000",1994,8899.855,""
"040","TRR","05","IN","V_USD_1000",1995,8174.705,""
"040","FCP","05","IN","V_USD_1000",1995,2562.043,""
"040","AYS","05","IN","V_USD_1000",1995,0,"N"
"040","AYS","05","IN","V_USD_1000",1996,0,"N"
"040","TRR","05","IN","V_USD_1000",1996,8085.163,""
"040","FCP","05","IN","V_USD_1000",1996,2296.277,""
"040","TRR","05","IN","V_USD_1000",1997,8861.508,""
"040","SVF","05","IN","V_USD_1000",1997,557.947,""
"040","TRS","05","IN","V_USD_1000",1997,229.743,""
"040","CAF","05","IN","V_USD_1000",1997,20.102,""
"040","FPI","05","IN","V_USD_1000",1997,17.231,""
"040","FCP","05","IN","V_USD_1000",1997,1550.764,""
"040","FCG","05","IN","V_USD_1000",1997,51.692,""
"040","SVC","05","IN","V_USD_1000",1997,17.231,""
"040","FPP","05","IN","V_USD_1000",1997,20.102,""
"040","BIC","05","IN","V_USD_1000",1997,20.102,""
"040","WHF","05","IN","V_USD_1000",1997,20.102,""
"040","SOM","05","IN","V_USD_1000",1997,20.102,""
"040","AYS","05","IN","V_USD_1000",1997,0,"N"
"040","FCY","05","IN","V_USD_1000",1997,20.102,""
"040","FTE","05","IN","V_USD_1000",1997,17.231,""
"040","SVF","05","IN","V_USD_1000",1998,630.092,""
"040","FPP","05","IN","V_USD_1000",1998,10.178,""
"040","SVC","05","IN","V_USD_1000",1998,10.178,""
"040","FCG","05","IN","V_USD_1000",1998,47.499,""
"040","CAF","05","IN","V_USD_1000",1998,0,"N"
"040","TRS","05","IN","V_USD_1000",1998,336.049,""
"040","TRR","05","IN","V_USD_1000",1998,8872.581,""
"040","BIC","05","IN","V_USD_1000",1998,3.393,""
