Average Microplastic,Year,Average of Merge1.Production,MP_Change,Yield_change,Average of distance,CPC_Group_En
64.28674500000015,1999,5576.630406961864,0.6272981402652665,0.029090813269216424,5.432778660981235,"Molluscs live, fresh or chilled"
18.61533000000001,1999,98.66666666666667,1.4134520828377037,0.2333333333333334,5.148303041504287,Other aquatic plants and animals
179.93003500000046,2000,2081.578713968958,0.701703003089552,0.2300181198179724,4.951230799054211,"Crustaceans, live, fresh or chilled"
81.41493900000019,2000,731.8764764322773,0.4261301430781873,0.008147438374036699,5.109816619965347,"Fish live, fresh or chilled for human consumption"
99.79059100000028,2000,3780.767526367101,0.5522731941086705,-0.3220336923086759,5.187694966021475,"Molluscs live, fresh or chilled"
17.983192000000052,2000,47.5,-0.03395792607490483,-0.5185810810810811,4.93488801299144,Other aquatic plants and animals
124.4638134999999,2001,2907.4825627557566,-0.30826549608574594,0.3967680122996854,5.704845163481113,"Crustaceans, live, fresh or chilled"
57.63503500000014,2001,7393.4349247111,-0.29208280804583503,9.102025632456897,6.571342547152939,"Fish live, fresh or chilled for human consumption"
72.49852750000005,2001,3395.256423476841,-0.27349335469914343,-0.1019663600582957,7.14972659640886,"Molluscs live, fresh or chilled"
18.79109249999994,2001,1352.9943425253975,0.04492531136852047,27.484091421587316,6.6035322048883085,Other aquatic plants and animals
70.12189850000006,2002,4187.5685937634225,-0.43660814715435464,0.44027298646784685,8.956619768420937,"Crustaceans, live, fresh or chilled"
40.381330000000155,2002,2198.7109674013464,-0.2993614040487737,-0.7026130628332729,12.615240906596137,"Fish live, fresh or chilled for human consumption"
46.11706600000033,2002,4485.947348412849,-0.3638896183098305,0.32123963226880786,15.141255563746341,"Molluscs live, fresh or chilled"
0.17518899999999998,2002,12812.142857142857,0,0,49.70525538748262,"Other aquatic invertebrates, live, fresh or chilled"
11.166144499999985,2002,10133.833260396921,-0.4057745977249582,6.489930254609838,12.068996333587993,Other aquatic plants and animals
79.9986779999999,2003,4436.329266268261,0.14085157006979335,0.05940456065013938,9.241772959633302,"Crustaceans, live, fresh or chilled"
50.255242999999965,2003,853.0011252813204,0.24451678535599441,-0.6120449036148297,10.348829069740939,"Fish live, fresh or chilled for human consumption"
51.303387,2003,3380.1698446656123,0.11245990800888306,-0.24649810126248287,15.332045618746523,"Molluscs live, fresh or chilled"
,2003,,-1,-1,,"Other aquatic invertebrates, live, fresh or chilled"
8.913793999999985,2003,255.1111093922652,-0.20171246216632815,-0.9748258035397879,14.209150378755993,Other aquatic plants and animals
46.7094416667,2004,5333.42227593901,-0.4161223305877633,0.20221515487856564,9.874459799696485,"Crustaceans, live, fresh or chilled"
33.420056333500035,2004,760.3383123689728,-0.33499363770860735,-0.10863152481983811,9.450008387036021,"Fish live, fresh or chilled for human consumption"
52.63380233370007,2004,6322.627156591598,0.025932309960353964,0.8705057577416119,13.90638619952772,"Molluscs live, fresh or chilled"
8.227494000000002,2004,233.87903727506426,-0.07699302900650211,-0.08322676408636513,14.818437553746726,Other aquatic plants and animals
129.33828600000015,2005,6246.452639517345,1.7689966179194863,0.17119033827442162,8.457289782812438,"Crustaceans, live, fresh or chilled"
78.37070400000007,2005,901.2777546537171,1.345020104632251,0.18536412014491524,9.254531332580852,"Fish live, fresh or chilled for human consumption"
51.30788100000012,2005,4938.4397420395,-0.025191441144487098,-0.21892599077410815,12.276866395465571,"Molluscs live, fresh or chilled"
11.75802600000001,2005,270.60309652509653,0.4291138954340176,0.15702159405950197,13.572492072722255,Other aquatic plants and animals
31.45048499999994,2006,7008.494659090909,-0.7568354586050426,0.12199596531839647,7.116902387232658,"Crustaceans, live, fresh or chilled"
20.399354999999964,2006,1443.5121895796137,-0.7397068807752457,0.6016285569305216,7.936460113123001,"Fish live, fresh or chilled for human consumption"
12.284441999999977,2006,7221.852436910037,-0.7605739749805698,0.4623753278657041,11.95391053532691,"Molluscs live, fresh or chilled"
2.859134999999995,2006,207.68872027373823,-0.756835458605042,-0.23249688218376852,12.71979878104789,Other aquatic plants and animals
77.10643499999996,2007,5386.926650404025,1.4516771362985315,-0.23137179773455405,7.227889007690892,"Crustaceans, live, fresh or chilled"
67.29785499999998,2007,560.3608452351124,2.299018767995366,-0.6118073340286075,7.837579248861344,"Fish live, fresh or chilled for human consumption"
28.356720000000035,2007,7910.403426956767,1.3083441641061186,0.09534271103735484,12.104301437003011,"Molluscs live, fresh or chilled"
7.343469999999997,2007,152.97612598425198,1.5684236665984679,-0.2634355598001368,10.197960768536156,Other aquatic plants and animals
15.48872,2008,11934.598156424581,-0.799125455612103,1.2154744125817034,10.460471072826008,"Crustaceans, live, fresh or chilled"
14.160486000000002,2008,1043.2819088319088,-0.789584883500373,0.8618037246948896,10.922374879162119,"Fish live, fresh or chilled for human consumption"
5.051118999999999,2008,4837.949280958722,-0.8218722405130074,-0.38840675755270015,18.126319487371685,"Molluscs live, fresh or chilled"
1.5488720000000007,2008,262.9305841924399,-0.789081728392708,0.7187687457813324,15.841264672251992,Other aquatic plants and animals
0,2009,32538.964615384615,-1,1.7264399009419835,23.795490291447177,"Crustaceans, live, fresh or chilled"
0,2009,514.5265957446809,-1,-0.5068192102355528,23.84377602601044,"Fish live, fresh or chilled for human consumption"
0,2009,214.28131487889274,-1,-0.9557082345360121,24.04677660557568,"Molluscs live, fresh or chilled"
0,2009,466.59099999999995,-1,0.774578645664516,23.795490291447177,Other aquatic plants and animals
0,2010,21443.68666666667,0,-0.3409843576728939,24.71967345764232,"Crustaceans, live, fresh or chilled"
0,2010,570.9907407407408,0,0.10973999296253792,24.799447777223754,"Fish live, fresh or chilled for human consumption"
0,2010,278.632338902148,0,0.30031094432860406,25.15148290110459,"Molluscs live, fresh or chilled"
