Latitude,Longitude,Average of MicroPlastic,Sample_Date
20.68,-58.57,0.00432,1991-10-26 00:00:00
21.37,-58.67,0.008099499999999999,1991-10-26 00:00:00
21.52,-58.9,0,1991-10-26 00:00:00
20.68,-58.57,0.00108,1991-10-27 00:00:00
17.43,-59.02,0.00216,1991-10-28 00:00:00
19.27,-58.58,0.00027,1991-10-28 00:00:00
15.95,-60.05,0,1991-10-29 00:00:00
17.43,-59.02,0,1991-10-29 00:00:00
14.18,-60.75,0,1991-10-30 00:00:00
15.95,-60.05,0,1991-10-30 00:00:00
13.97,-61.22,0,1991-10-31 00:00:00
14.18,-60.75,0,1991-10-31 00:00:00
12,-61.5,0,1991-11-01 00:00:00
13.12,-61.55,0.0016200000000000001,1991-11-01 00:00:00
13.7,-61.2,0.00027,1991-11-01 00:00:00
12,-61.5,0,1991-11-02 00:00:00
12.25,-61.77,0.00027,1991-11-03 00:00:00
13.63,-59.38,0.012514,1991-11-04 00:00:00
11.75,-59.38,0,1991-11-06 00:00:00
13.05,-61.3,0.00054,1991-11-09 00:00:00
13.3,-61.32,0.00054,1991-11-09 00:00:00
13.12,-61.53,0,1991-11-12 00:00:00
16.92,-62.7,0,1991-11-15 00:00:00
18.17,-64.72,0,1991-11-27 00:00:00
17.84,-65,0,1991-11-28 00:00:00
18.23,-64.58,0,1991-11-28 00:00:00
16.3,-64.72,0.00108,1991-11-29 00:00:00
17.62,-64.97,0.00027,1991-11-29 00:00:00
13.7,-63.73,0.0003375,1991-11-30 00:00:00
15.2,-63.7,0.00108,1991-11-30 00:00:00
15.22,-64.37,0,1991-11-30 00:00:00
15.87,-63.85,0,1991-11-30 00:00:00
12.35,-64.25,0,1991-12-01 00:00:00
13.63,-62.7,0.00081,1991-12-01 00:00:00
14.53,-63.27,0,1991-12-01 00:00:00
13.18,-62.07,0,1991-12-02 00:00:00
10.75,-65.8,0.00027,1991-12-06 00:00:00
11.45,-64.6,0.00135,1991-12-07 00:00:00
11.25,-66.87,0.00054,1991-12-09 00:00:00
12.17,-68.38,0.0002455,1991-12-09 00:00:00
11.83,-68.02,0.00081,1991-12-10 00:00:00
12.3,-68.83,0.00081,1991-12-10 00:00:00
12.62,-68.48,0.0003,1991-12-12 00:00:00
13.3,-68.38,0.002788,1991-12-12 00:00:00
13.98,-68.7,0.0009,1991-12-13 00:00:00
13.63,-70.97,0,1991-12-14 00:00:00
17.02,-70.05,0.00135,1991-12-14 00:00:00
15.1,-73.75,0,1991-12-15 00:00:00
15.35,-74.3,0,1991-12-15 00:00:00
15.35,-74.3,0.00162,1991-12-16 00:00:00
15.78,-75.5,0.00027,1991-12-16 00:00:00
16.38,-76.63,0,1991-12-17 00:00:00
17.08,-78.18,0.00108,1991-12-17 00:00:00
17.08,-78.18,0.00054,1991-12-18 00:00:00
17.32,-78.5,0,1991-12-18 00:00:00
18.02,-79.13,0.00135,1991-12-19 00:00:00
20.62,-68.15,0.000225,1991-12-19 00:00:00
20.98,-68.28,0,1991-12-19 00:00:00
21.17,-68.83,0.00108,1991-12-19 00:00:00
16.86,-85.95,0.00135,1991-12-22 00:00:00
16.87,-86.72,0,1991-12-27 00:00:00
17.73,-86.53,0.0018900000000000002,1991-12-27 00:00:00
20.43,-71.17,0,1991-12-28 00:00:00
20.68,-71.58,0,1991-12-28 00:00:00
21.32,-72.38,0,1991-12-29 00:00:00
21.98,-72.6,0,1991-12-29 00:00:00
24.31,-82.12,0.00189,1992-01-02 00:00:00
24.6,-80.62,0,1992-01-03 00:00:00
24.9,-79.67,0,1992-01-03 00:00:00
25.25,-79.83,0,1992-01-04 00:00:00
26.28,-79.05,0,1992-01-14 00:00:00
26.06,-78.02,0.013949,1992-01-15 00:00:00
26.02,-77.74,0,1992-01-16 00:00:00
24.85,-75.45,0,1992-01-29 00:00:00
26.12,-80.01,0.00054,1992-02-05 00:00:00
26.35,-78.33,0,1992-02-15 00:00:00
25.8,-73.32,0,1992-02-16 00:00:00
25.98,-78.28,0,1992-02-16 00:00:00
26.2,-78.08,0.005736,1992-02-16 00:00:00
25.72,-76.35,0,1992-02-17 00:00:00
26.3,-75.28,0.0053995,1992-02-17 00:00:00
26.32,-74.83,0.00594,1992-02-18 00:00:00
26.68,-74.12,0.0054,1992-02-18 00:00:00
26.73,-75.15,0,1992-02-18 00:00:00
26.2,-73.62,0.00036,1992-02-19 00:00:00
26.78,-73.9,0.070194,1992-02-19 00:00:00
27.07,-72.95,0.00378,1992-02-19 00:00:00
23.48,-71.72,0,1992-02-21 00:00:00
24.38,-72.43,0,1992-02-21 00:00:00
24.98,-71.78,0.00324,1992-02-21 00:00:00
22,-71.25,0.006075,1992-02-22 00:00:00
22.83,-71.55,0.0018,1992-02-22 00:00:00
15.85,-75.45,0.000831,1992-02-27 00:00:00
16.58,-75.43,0.00054,1992-02-27 00:00:00
14.25,-75.4,0.00054,1992-02-28 00:00:00
20,-70.8,0.0009005,1992-02-28 00:00:00
13.03,-75.58,0,1992-02-29 00:00:00
20.22,-70.42,0.0028875,1992-02-29 00:00:00
20.37,-71.3,0.0152975,1992-02-29 00:00:00
12.17,-78.15,0,1992-03-02 00:00:00
12.77,-79.83,0,1992-03-03 00:00:00
18.15,-74.89,0.0007199999999999999,1992-03-03 00:00:00
13.23,-81.35,0,1992-03-04 00:00:00
